file,rectangles,circles,line_segments,integers,min_x,min_y,max_x,max_y,black_cells,gray_cells,largest_black_component,largest_gray_component,q5_min_different,q5_shortest_length,a,b,a_color
data1a.txt,17,11,13,235,,,,,,,,,,,,,
data1b.txt,137,83,109,1891,,,,,,,,,,,,,
data1c.txt,1001,997,1003,17009,,,,,,,,,,,,,
data2a.txt,20,10,18,278,0,0,119,89,2371,1932,1735,1199,,,,,
data2b.txt,74,49,60,1049,0,0,359,259,14252,18412,2989,3963,,,,,
data2c.txt,255,156,212,3582,0,1,899,649,213592,211040,23333,40379,,,,,
data3a.txt,39,11,41,535,0,0,99,69,7000,0,7000,0,,,,,
data3b.txt,64,132,68,1452,1,2,239,159,20469,14504,6374,10068,,,,,
data3c.txt,274,239,251,4345,0,0,419,299,55775,65958,33062,32208,,,,,
data4a.txt,3,0,3,36,10,8,90,46,1423,0,1200,0,,,,,
data4b.txt,7,0,2,54,5,5,104,74,606,6394,184,3136,,,,,
data4c.txt,166,60,126,2052,0,0,259,189,19757,21675,7540,5783,,,,,
data5a.txt,11,0,0,66,5,5,64,44,370,2030,66,2030,0,207,"(5, 5)","(64, 44)",gray
data5b.txt,5,2,2,52,10,10,109,79,1684,5316,1472,2790,1,169,"(10, 10)","(109, 79)",gray
data5c.txt,9,0,1,60,8,8,87,57,3391,609,3391,144,1,381,"(8, 8)","(87, 57)",black
data5d.txt,2,1,3,35,20,20,179,119,12527,3155,12527,1959,0,263,"(20, 20)","(179, 119)",white
